vendor,type,win,svr,ver,url,outfile,destinationpath
MSFT,secbase,,,Edgev80,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Microsoft%20Edge%20v80.zip,C:\BorgKit\Downloads\MSFT\SecBaseLines\Microsoft Edge v80.zip,C:\BorgKit\SecBaseLines\MSFT\Microsoft Edge v80
MSFT,secbase,,,Office365ProPlus,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Office365-ProPlus-Sept2019-FINAL.zip,C:\borgkit\Downloads\MSFT\SecBaseLines\Office365-ProPlus-Sept2019-FINAL.zip,C:\BorgKit\SecBaseLines\MSFT\Office365-ProPlus-Sept2019-FINAL
MSFT,secbase,Win10,,1709,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201709%20Security%20Baseline.zip,C:\BorgKit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1709 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1709 Security Baseline
MSFT,secbase,Win10,,1507,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201507%20Security%20Baseline.zip,C:\BorgKit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1507 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1507 Security Baseline
MSFT,secbase,Win10,,1803,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201803%20Security%20Baseline.zip,C:\BorgKit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1803 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1803 Security Baseline
MSFT,secbase,,Svr201R2,,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%20Server%202012%20R2%20Security%20Baseline.zip,C:\borgKit\Downloads\MSFT\SecBaseLines\Windows Server 2012 R2 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows Server 2012 R2 Security Baseline
MSFT,secbase,Win10,Svr2016,1607,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201607%20and%20Windows%20Server%202016%20Security%20Baseline.zip,C:\borgKit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1607 and Windows Server 2016 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1607 and Windows Server 2016 Security Baseline
MSFT,secbase,Win10,Svr2019,1809,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201809%20and%20Windows%20Server%202019%20Security%20Baseline.zip,C:\borgKit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1809 and Windows Server 2019 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1809 and Windows Server 2019 Security Baseline
MSFT,secbase,Win10,Svr2019,1903_Sep2019,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201903%20and%20Windows%20Server%20Version%201903%20Security%20Baseline%20-%20Sept2019Update.zip,C:\borgKit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1903 and Windows Server Version 1903 Security Baseline - Sept2019Update.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1903 and Windows Server Version 1903 Security Baseline - Sept2019Update
MSFT,secbase,Win10,Svr2019,1909,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201909%20and%20Windows%20Server%20Version%201909%20Security%20Baseline.zip,C:\borgkit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1909 and Windows Server Version 1909 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1909 and Windows Server Version 1909 Security Baseline
MSFT,tool,,,Sysmon,https://download.sysinternals.com/files/Sysmon.zip,C:\borgkit\Downloads\MSFT\Tools\Sysmon.zip,C:\BorgKit\Tools\Sysmon
MSFT,ADMX,Win10,,Nov2019,https://download.microsoft.com/download/3/3/2/332816c1-1b4e-4d7d-9dd0-47ba02124d4d/Administrative%20Templates%20(.admx)%20for%20Windows%2010%20November%202019%20Update.msi,C:\borgkit\Downloads\MSFT\ADMX\Administrative Templates (.admx) for Windows 10 November 2019 Update.msi,C:\BorgKit\ADMX\MSFT\Administrative Templates (.admx) for Windows 10 November 2019 Update
MSFT,ADMX,Win10,,May2019v3,https://download.microsoft.com/download/9/2/0/9200837E-1415-40C0-BE02-BDE308606DC5/Administrative%20Templates%20(.admx)%20for%20Windows%2010%20May%202019%20Update%20v3.msi,C:\borgkit\Downloads\MSFT\ADMX\Administrative Templates (.admx) for Windows 10 May 2019 Update v3.msi,C:\BorgKit\ADMX\MSFT\Administrative Templates (.admx) for Windows 10 May 2019 Update v3
MSFT,ADMX,Win10,,Oct2018,https://download.microsoft.com/download/C/F/D/CFD3A078-2975-4F8D-81AB-76AED27D6EF8/Administrative%20Templates%20(.admx)%20for%20Windows%2010%20October%202018%20Update.msi,C:\borgkit\Downloads\MSFT\ADMX\Administrative Templates (.admx) for Windows 10 October 2018 Update.msi,C:\BorgKit\ADMX\MSFT\Administrative Templates (.admx) for Windows 10 October 2018 Update
MSFT,ADMX,Win10,,Apr2018,https://download.microsoft.com/download/6/F/3/6F36772D-B61A-4B43-B636-7ACD759DC154/Administrative%20Templates%20(.admx)%20for%20Windows%2010%20April%202018%20Update.msi,C:\borgkit\Downloads\MSFT\ADMX\Administrative Templates (.admx) for Windows 10 April 2018 Update.msi,C:\BorgKit\ADMX\MSFT\Administrative Templates (.admx) for Windows 10 April 2018 Update
MSFT,ADMX,Win10,,1709,https://download.microsoft.com/download/B/5/F/B5F36BB6-80FA-4612-AB53-FDBB03FCFD4B/Windows_10_Fall_Creators_Update_1709_ADMX.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows_10_Fall_Creators_Update_1709_ADMX.msi,C:\BorgKit\ADMX\MSFT\Windows_10_Fall_Creators_Update_1709_ADMX
MSFT,ADMX,Win10,,Creators,https://download.microsoft.com/download/D/7/4/D74DD144-DBC7-496E-A09F-A2DE8E9D38D1/Windows_%2010_Creators_Update_ADMX.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows_ 10_Creators_Update_ADMX.msi,C:\BorgKit\ADMX\MSFT\Windows_10_Creators_Update_ADMX
MSFT,ADMX,Win10,Svr2016,xxxx,https://download.microsoft.com/download/0/C/0/0C098953-38C6-4DF7-A2B6-DE10A57A1C55/Windows%2010%20and%20Windows%20Server%202016%20ADMX.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows 10 and Windows Server 2016 ADMX.msi,C:\BorgKit\ADMX\MSFT\Windows 10 and Windows Server 2016 ADMX
MSFT,ADMX,Win10,,1511,https://download.microsoft.com/download/2/E/3/2E3A1E42-8F50-4396-9E7E-76209EA4F429/Windows10_Version_1511_ADMX.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows10_Version_1511_ADMX.msi,C:\BorgKit\ADMX\MSFT\Windows10_Version_1511_ADMX
MSFT,ADMX,Win10,,,https://download.microsoft.com/download/2/E/3/2E3A1E42-8F50-4396-9E7E-76209EA4F429/Windows10-ADMX.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows10-ADMX.msi,C:\BorgKit\ADMX\MSFT\Windows10-ADMX
MSFT,ADMX,Win8.1,,,https://download.microsoft.com/download/D/F/E/DFE17DA4-887E-4EEC-A83F-99A8229EA9D4/Windows8.1-Update-ADMX.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows8.1-Update-ADMX.msi,C:\BorgKit\ADMX\MSFT\Windows8.1-Update-ADMX
MSFT,ADMX,Win8.1,Svr2012R2,,https://download.microsoft.com/download/7/F/5/7F5E839D-8254-46D6-B9E0-F1B555AFA48B/Windows8.1-Server2012R2ADMX-RTM.msi,C:\borgkit\Downloads\MSFT\ADMX\Windows8.1-Server2012R2ADMX-RTM.msi,C:\BorgKit\ADMX\MSFT\Windows8.1-Server2012R2ADMX-RTM
